Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
F;Moinsde1;ORI;2;ML;U;0;2;4;4;3;4;5;3;4;2;5;3;2;3;4;3;3
M;2a10;MCO;4;ML;PU;3;1;5;5;4;4;5;4;5;1;5;1;3;1;1;4;2
M;2a10;EUR;4;ML;R;2;2;4;3;4;4;4;4;4;4;4;1;2;1;2;1;1
F;Plusde10;ORI;4;ML;R;1;3;4;4;5;5;5;5;5;4;5;3;4;5;5;1;4
F;Moinsde1;EUR;2;ML;U;0;2;3;1;1;4;4;5;3;1;3;2;1;1;1;1;1
M;1a2;NR;1;ASB;R;0;2;2;2;4;4;5;2;5;5;3;3;3;4;4;4;5
F;2a10;BRI;2;MI;R;1;1;3;3;3;3;3;3;3;2;2;1;1;1;1;1;1
F;Moinsde1;EUR;1;MI;PU;1;2;3;2;3;2;2;2;3;3;2;2;1;3;2;1;2
M;Moinsde1;NR;2;MI;R;0;2;3;4;3;4;4;4;5;4;2;1;1;2;2;3;3
F;1a2;BRI;Plusde5;MI;R;0;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1
F;Moinsde1;BRI;5;MI;R;0;2;1;4;1;5;4;5;5;4;1;3;1;1;2;4;4
F;2a10;BRI;Plusde5;ML;U;0;2;1;4;1;1;2;5;4;4;2;2;5;4;2;4;1
M;Moinsde1;BRI;1;ML;PU;1;3;3;4;3;5;5;5;3;3;3;1;1;1;1;1;2
F;1a2;EUR;Plusde5;ML;PU;3;2;3;4;5;5;5;5;2;1;5;1;1;3;4;3;1
M;2a10;EUR;Plusde5;ML;PU;2;2;5;5;4;5;4;4;4;3;2;1;1;1;5;5;1
F;2a10;EUR;2;ML;U;2;2;4;3;5;5;5;5;5;5;3;2;1;1;1;4;5
F;Plusde10;BRI;2;MI;R;0;2;1;5;2;3;2;4;5;5;1;5;2;2;1;3;4
F;2a10;EUR;1;MI;R;1;2;2;2;5;5;4;5;4;2;4;4;4;4;4;4;4
M;2a10;NR;2;ML;R;2;1;3;5;1;4;5;3;5;4;3;1;3;5;3;3;2
F;Moinsde1;NR;1;ML;R;1;2;3;4;1;5;5;5;3;3;4;1;1;1;2;4;3
